0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Cluster_Label,Reconstruction_Error,Anomaly
0.0,2.394153,1.1630049,0.58551174,1.5734694,3.303068,0.0,3.446561,0.0,2.216468,1.2237221,0.77009416,1.8104976,0.7488675,3.1741772,0.63002884,0.0,0.0,0.0,0.0,2.6375008,0.0,0.0,1.8925796,1.1561302,0,0.022793490074565485,False
0.0,2.043569,1.8055015,0.7409088,1.6150565,3.7622244,0.0,3.8717687,0.0,2.090321,0.8259035,1.1453853,1.7994335,0.7908233,2.8392503,1.0394394,0.0,0.0,0.0,0.0,2.35229,0.0,0.0,2.6227896,1.2108594,0,0.02042570841047906,False
0.0,0.92647463,2.4373028,3.531939,2.6727939,2.8972843,0.0,0.5051217,0.0,0.0,2.2687843,1.6104742,1.9188278,2.7876797,0.8613474,3.077683,0.0,0.0,0.0,0.0,1.8180094,0.0,0.0,3.4760268,3.1564887,1,0.013018474219632554,False
0.0,1.8342104,1.5053142,1.6254078,2.1391213,3.9894378,0.0,1.8655993,0.0,2.4092577,1.7833887,1.2395388,0.8581177,3.097545,1.8671116,2.4155798,0.0,0.0,0.0,0.0,2.2228189,0.0,0.0,3.1247733,4.5202174,2,0.017286774808214857,False
0.0,1.1131575,3.2399387,2.3952162,1.7749572,3.0882328,0.0,1.8128661,0.0,1.9018229,2.0087044,1.5895025,2.6538334,2.2143853,2.4361281,2.5234067,0.0,0.0,0.0,0.0,2.2121937,0.0,0.0,2.8268492,3.917117,2,0.01846474595548048,False
0.0,1.953444,1.0248181,2.870126,2.563851,4.7549295,0.0,0.7717336,0.0,1.1695341,3.1764915,1.1432761,2.219485,1.5926917,0.97304446,1.6140063,0.0,0.0,0.0,0.0,2.7274492,0.0,0.0,2.9452736,2.8556552,1,0.02077106107013129,False
0.0,1.3088353,1.099241,3.3080826,2.9664166,3.8828862,0.0,0.44579858,0.0,0.8377764,3.028921,1.1671072,1.0854675,2.1411045,0.01838894,1.5960407,0.0,0.0,0.0,0.0,2.4734225,0.0,0.0,3.0876973,3.039094,1,0.014623652213593663,False
0.0,1.8573122,0.925801,2.881336,1.4205489,3.9965532,0.0,1.1728709,0.0,0.57265896,2.7773936,0.6897221,2.7212183,3.0478716,1.6637216,1.5940592,0.0,0.0,0.0,0.0,2.6761918,0.0,0.0,2.7419336,2.4137318,1,0.021565183348957056,False
0.0,0.98319995,1.6270541,1.4836237,1.1914458,2.5679543,0.0,0.6789933,0.0,1.7782226,2.541324,0.6683378,0.8915501,2.2534668,1.0862513,1.5707817,0.0,0.0,0.0,0.0,2.4433415,0.0,0.0,1.8999804,3.712538,2,0.03364610642556324,False
0.0,1.4593248,1.1645542,3.2293503,0.35696438,5.1107073,0.0,2.2221327,0.0,0.59591526,2.613935,0.7121759,2.636896,1.927,2.4787018,0.46665037,0.0,0.0,0.0,0.0,3.2121518,0.0,0.0,2.845463,1.654155,1,0.017052814102175375,False
